Step	PotentialEnergy	Width	Height	Area
0	-11.599756	20.0293	22.4483	449.6230
1	-11.602390	20.0266	22.4466	449.5292
2	-11.607654	20.0213	22.4432	449.3426
3	-11.615573	20.0134	22.4382	449.0640
4	-11.626196	20.0028	22.4316	448.6943
5	-11.639128	19.9907	22.4233	448.2571
6	-11.654319	19.9784	22.4134	447.7840
7	-11.672360	19.9642	22.4019	447.2362
8	-11.693450	19.9480	22.3889	446.6145
9	-11.717851	19.9300	22.3743	445.9194
10	-11.745906	19.9101	22.3581	445.1518
11	-11.778073	19.8883	22.3404	444.3123
12	-11.814966	19.8646	22.3212	443.4014
13	-11.857424	19.8391	22.3004	442.4200
14	-11.906628	19.8117	22.2781	441.3685
15	-11.964279	19.7825	22.2544	440.2477
16	-12.032944	19.7515	22.2291	439.0580
17	-12.116679	19.7186	22.2024	437.8001
18	-12.222344	19.6838	22.1743	436.4744
19	-12.362629	19.6473	22.1446	435.0816
20	-12.564226	19.6089	22.1136	433.6221
21	-12.895792	19.5687	22.0810	432.0964
22	-13.612123	19.5266	22.0471	430.5049
23	-17.184171	19.4827	22.0117	428.8481
24	-12.929199	19.4370	21.9750	427.1262
25	-12.225936	19.3893	21.9368	425.3397
26	-12.063675	19.3399	22.0231	425.9233
27	-12.040588	19.2885	22.1949	428.1058
28	-12.093220	19.2353	22.3627	430.1525
29	-11.978120	19.1801	22.5269	432.0672
30	-11.983046	19.1229	22.6875	433.8506
31	-11.993647	19.0632	22.8445	435.4904
32	-12.013421	19.0004	22.9981	436.9736
33	-12.038964	18.9344	23.1482	438.2986
34	-12.069468	18.8652	23.2949	439.4637
35	-12.104543	18.7927	23.4382	440.4665
36	-12.144116	18.7168	23.5780	441.3045
37	-12.188373	18.6372	23.7146	441.9747
38	-12.237721	18.5609	23.8478	442.6367
39	-12.292791	18.5171	23.9778	443.9988
40	-12.354478	18.4723	24.1046	445.2674
41	-12.424121	18.5238	24.2280	448.7959
42	-12.503583	18.6172	24.3483	453.2971
43	-12.595731	18.7086	24.4653	457.7104
44	-12.705229	18.7979	24.5791	462.0348
45	-12.840224	18.8851	24.6898	466.2695
46	-13.008411	18.9702	24.7973	470.4094
47	-13.231963	19.0518	24.9017	474.4205
48	-13.558253	19.1301	25.0030	478.3102
49	-12.570362	19.3181	25.1013	484.9099
50	-12.639776	19.3591	25.1966	487.7839
51	-12.709694	19.3957	25.2889	490.4965
52	-12.786340	19.4278	25.3784	493.0463
53	-12.871171	19.4743	25.4650	495.9130
54	-12.965980	19.5335	25.5489	499.0589
55	-12.918513	19.5894	25.6301	502.0789
56	-13.012986	19.6422	25.7087	504.9747
57	-13.120437	19.6916	25.7848	507.7438
58	-12.943427	19.7377	25.8584	510.3860
59	-13.038323	19.7805	25.9296	512.9002
60	-13.075201	19.9187	25.9985	517.8556
61	-13.192140	19.9693	26.0651	520.5038
62	-13.334772	20.0374	26.1296	523.5688
63	-13.515758	20.2523	26.1920	530.4478
64	-13.759455	20.5416	26.2523	539.2632
65	-14.119696	20.8257	26.3105	547.9342
66	-14.742695	21.1045	26.3668	556.4601
67	-16.151530	21.3783	26.4212	564.8403
68	-14.752027	21.6470	26.4737	573.0752
69	-13.898504	21.9106	26.5244	581.1646
70	-13.561494	22.1691	26.5732	589.1060
71	-13.442891	22.4226	26.6202	596.8961
72	-13.401700	22.6711	26.6655	604.5367
73	-13.398423	22.9146	26.7090	612.0241
74	-13.410535	23.1530	26.7506	619.3571
75	-13.422490	23.3864	26.7906	626.5342
76	-13.429515	23.6147	26.8288	633.5539
77	-13.435852	23.8380	26.8653	640.4142
78	-13.281193	24.2409	26.9001	652.0835
79	-13.274496	24.4737	26.9333	659.1569
80	-13.275627	24.7020	26.9648	666.0836
81	-13.278911	24.9367	26.9947	673.1591
82	-13.296477	25.1613	27.0230	679.9321
83	-13.324490	25.3823	27.0496	686.5813
84	-13.363326	25.5997	27.0748	693.1070
85	-13.413489	25.8138	27.0983	699.5100
86	-13.475815	26.0243	27.1204	705.7906
87	-13.186077	26.2315	27.1410	711.9480
88	-13.227319	26.4353	27.1600	717.9832
89	-13.276315	26.6359	27.1775	723.8960
90	-13.333404	26.8331	27.1935	729.6866
91	-13.399074	27.0271	27.2081	735.3551
92	-13.416973	27.2178	27.2212	740.9018
93	-13.430237	27.4055	27.2328	746.3285
94	-13.518503	27.5900	27.2430	751.6320
95	-13.618985	27.7713	27.2516	756.8126
96	-13.733399	27.9496	27.2587	761.8704
97	-13.863946	28.1248	27.2644	766.8064
98	-14.013457	28.2970	27.2686	771.6210
99	-14.185294	28.4662	27.2714	776.3143
100	-14.382935	28.6325	27.2727	780.8865
101	-14.608481	28.7959	27.2726	785.3380
