radius=0.79 x=12.4123 y=13.2275
radius=0.54 x=16.8217 y=4.5654
radius=0.22 x=14.2910 y=12.2481
radius=0.65 x=11.9474 y=16.6331
radius=1.40 x=10.0900 y=10.3216
radius=1.00 x=12.2628 y=4.7742
radius=1.41 x=22.4752 y=17.3542
radius=0.91 x=17.2326 y=16.7208
radius=0.86 x=16.1716 y=20.4969
radius=1.45 x=21.9662 y=9.9996
radius=1.06 x=9.2451 y=21.6584
radius=1.44 x=6.6307 y=11.3702
radius=0.61 x=7.5144 y=20.9230
radius=0.35 x=12.8214 y=19.6552
radius=0.99 x=13.2289 y=9.3622
Parameters: N=15 T=500 dt=0.1000 drag=0.0100
