Step	PotentialEnergy	Width	Height	Area
0	-13.552709	19.4687	20.5541	400.1619
1	-13.556825	19.4655	20.5512	400.0394
2	-13.565037	19.4590	20.5455	399.7958
3	-13.577342	19.4494	20.5370	399.4320
4	-13.593761	19.4366	20.5257	398.9492
5	-13.614334	19.4206	20.5136	398.3872
6	-13.639122	19.4016	20.5002	397.7360
7	-13.668209	19.3794	20.4846	396.9796
8	-13.701706	19.3541	20.4669	396.1191
9	-13.738798	19.3258	20.4470	395.1552
10	-13.776345	19.2944	20.4251	394.0889
11	-13.815051	19.2599	20.4010	392.9208
12	-13.857775	19.2223	20.3748	391.6516
13	-13.904682	19.1817	20.3466	390.2821
14	-13.954981	19.1379	20.3163	388.8127
15	-14.002602	19.0911	20.2840	387.2440
16	-14.053460	19.0411	20.2497	385.5764
17	-14.108365	18.9880	20.2133	383.8102
18	-14.167613	18.9318	20.1748	381.9456
19	-14.231500	18.8723	20.1344	379.9828
20	-14.300366	18.8096	20.0919	377.9218
21	-14.374611	18.7436	20.0475	375.7623
22	-14.454710	18.6743	20.0010	373.5041
23	-14.541231	18.6015	19.9525	371.1469
24	-14.634862	18.5253	19.9020	368.6897
25	-14.736439	18.4455	19.8494	366.1319
26	-14.847000	18.3619	19.7949	363.4721
27	-14.967847	18.2746	19.7383	360.7089
28	-15.098058	18.1832	19.6797	357.8402
29	-15.237361	18.0877	19.6191	354.8636
30	-15.391070	17.9878	19.5564	351.7759
31	-15.558933	17.8832	19.4916	348.5730
32	-15.712315	17.7737	19.4248	345.2502
33	-15.888772	17.6590	19.3559	341.8042
34	-16.097447	17.5387	19.2848	338.2312
35	-16.321596	17.4127	19.2116	334.5265
36	-16.466233	17.3046	19.1363	331.1465
37	-16.626236	17.2254	19.0588	328.2945
38	-16.804228	17.1441	18.9791	325.3790
39	-16.992263	17.0609	18.8971	322.4002
40	-17.117066	16.9756	18.8128	319.3584
41	-17.237380	16.8883	18.7262	316.2538
42	-17.353754	16.7990	18.6372	313.0866
43	-17.477872	16.7077	18.5457	309.8569
44	-17.610965	16.6143	18.4619	306.7315
45	-17.754657	16.5188	18.3933	303.8367
46	-17.907044	16.4213	18.3353	301.0896
47	-18.068170	16.3216	18.2768	298.3077
48	-18.246146	16.2199	18.2150	295.4455
49	-18.445001	16.1319	18.1510	292.8110
50	-18.630556	16.0525	18.0853	290.3141
51	-18.747578	15.9714	18.0183	287.7777
52	-18.853865	15.8889	17.9498	285.2031
53	-18.955657	15.8048	17.8801	282.5912
54	-19.047782	15.7191	17.8090	279.9422
55	-19.139702	15.6319	17.7366	277.2564
56	-19.233118	15.5431	17.6627	274.5341
57	-19.329838	15.4527	17.5876	271.7754
58	-19.420619	15.3607	17.5110	268.9805
59	-19.507160	15.2670	17.4330	266.1495
60	-19.600841	15.1717	17.3536	263.2827
61	-19.683227	15.0747	17.2727	260.3802
62	-19.753434	14.9760	17.1903	257.4420
63	-19.818590	14.8756	17.1065	254.4685
64	-19.882876	14.7734	17.0211	251.4599
65	-19.948249	14.6695	16.9342	248.4164
66	-20.015579	14.5637	16.8458	245.3381
67	-20.085235	14.4562	16.7558	242.2254
68	-20.157379	14.3468	16.6642	239.0783
69	-20.232101	14.2739	16.5709	236.5316
70	-20.309473	14.2347	16.4760	234.5317
71	-20.389580	14.2357	16.3794	233.1727
72	-20.472523	14.2365	16.2811	231.7861
73	-20.558424	14.2371	16.1811	230.3718
74	-20.647427	14.2376	16.0792	228.9299
75	-20.739699	14.2380	15.9756	227.4601
76	-20.835429	14.2383	15.8701	225.9620
77	-20.934831	14.2384	15.7626	224.4354
78	-21.038148	14.2385	15.6533	222.8796
79	-21.145655	14.2386	15.5419	221.2943
80	-21.253651	14.2371	15.4422	219.8522
81	-21.355242	14.2002	15.3659	218.1992
82	-21.454870	14.1827	15.2754	216.6471
83	-21.553162	14.1635	15.1793	214.9923
84	-21.652407	14.1431	15.1055	213.6385
85	-21.753856	14.1219	15.0305	212.2592
86	-21.858235	14.1000	14.9538	210.8486
87	-21.966011	14.0775	14.8756	209.4110
88	-22.077527	14.0544	14.7960	207.9481
89	-22.193074	14.0307	14.7149	206.4607
90	-22.312927	14.0065	14.6324	204.9488
