radius=1.44 x=21.0028 y=20.6036
radius=1.17 x=14.0218 y=5.5199
radius=0.81 x=14.7159 y=13.8322
radius=0.40 x=14.0791 y=7.4833
radius=1.01 x=11.4931 y=2.2171
radius=1.18 x=16.3229 y=9.5817
radius=0.78 x=11.6528 y=22.9902
radius=0.44 x=11.9042 y=8.0285
radius=0.20 x=11.2913 y=14.1443
radius=0.81 x=9.2486 y=14.6592
radius=0.73 x=13.4840 y=20.1012
radius=0.28 x=14.8141 y=21.3343
radius=1.22 x=9.1093 y=11.7644
radius=0.68 x=8.2802 y=7.6482
radius=0.77 x=17.9412 y=11.5314
radius=1.04 x=1.5936 y=4.9621
radius=0.15 x=10.1030 y=0.3730
radius=0.31 x=24.3132 y=6.5208
radius=1.09 x=11.3326 y=4.5948
radius=0.13 x=9.0753 y=9.7562
radius=0.32 x=15.8968 y=17.1960
radius=0.99 x=5.0842 y=15.7288
radius=0.21 x=14.5005 y=8.4450
radius=0.62 x=0.7774 y=22.9723
radius=1.07 x=4.8143 y=8.8461
radius=1.07 x=21.9855 y=16.5911
radius=0.03 x=7.6369 y=18.1785
radius=0.22 x=24.6521 y=7.1571
radius=0.64 x=17.5800 y=17.5540
radius=0.39 x=21.4319 y=22.4770
radius=0.44 x=6.2596 y=22.3211
radius=1.08 x=3.1357 y=21.1454
radius=0.10 x=16.3500 y=0.5920
radius=0.86 x=15.9891 y=7.0659
radius=0.40 x=1.4341 y=8.0466
radius=0.65 x=12.1417 y=21.6301
radius=1.16 x=12.3746 y=16.0945
radius=0.45 x=13.3000 y=3.6909
radius=0.45 x=22.5605 y=15.0136
radius=1.00 x=16.9808 y=21.5631
radius=0.64 x=5.2754 y=18.1605
radius=0.85 x=23.9109 y=1.5967
radius=1.16 x=23.0833 y=18.8000
radius=1.12 x=19.4722 y=2.1711
radius=0.29 x=24.4443 y=8.1807
radius=0.49 x=3.4933 y=7.2956
radius=0.99 x=19.5468 y=23.8495
radius=0.79 x=14.7458 y=3.1110
radius=0.44 x=13.3928 y=8.7395
radius=0.35 x=24.3052 y=12.5180
radius=1.18 x=20.0426 y=13.9976
radius=0.09 x=7.7596 y=13.2612
radius=0.10 x=6.2591 y=20.4828
radius=0.07 x=16.8843 y=24.5215
radius=0.45 x=9.8513 y=7.5462
radius=0.46 x=19.4162 y=10.2710
radius=0.55 x=6.3080 y=13.5089
radius=0.81 x=7.7135 y=3.2283
radius=1.43 x=7.6070 y=16.6916
radius=0.15 x=24.1503 y=16.7713
radius=0.52 x=6.4780 y=0.6271
radius=0.62 x=21.6667 y=12.4552
radius=0.72 x=16.4136 y=16.2397
radius=0.72 x=18.0234 y=8.4375
radius=0.43 x=24.0308 y=11.1306
radius=0.64 x=17.6178 y=23.8823
radius=1.00 x=9.5654 y=18.7876
radius=0.66 x=17.0251 y=19.7869
radius=1.23 x=3.9040 y=11.4858
radius=0.29 x=13.3754 y=10.5368
radius=0.93 x=13.4722 y=1.1444
radius=0.81 x=15.3367 y=18.6284
radius=0.77 x=9.2399 y=3.7318
radius=0.64 x=21.7486 y=7.0247
radius=0.37 x=19.2740 y=18.1937
radius=1.14 x=14.5413 y=11.6806
radius=0.69 x=15.9272 y=23.8281
radius=0.90 x=9.6679 y=5.8871
radius=0.06 x=6.1038 y=24.3596
radius=0.33 x=1.5854 y=8.7767
radius=0.04 x=11.3132 y=8.6653
radius=0.93 x=3.1272 y=15.2998
radius=0.91 x=21.6034 y=10.5728
radius=0.03 x=5.6201 y=7.8410
radius=1.42 x=4.4359 y=5.1001
radius=0.27 x=4.4208 y=2.3121
radius=0.13 x=23.4102 y=7.0806
radius=0.54 x=8.4168 y=9.0793
radius=0.82 x=0.8809 y=12.7118
radius=0.02 x=16.2042 y=20.8174
radius=0.42 x=3.9140 y=19.6947
radius=0.03 x=20.3629 y=11.8603
radius=0.20 x=14.7647 y=20.8442
radius=0.08 x=0.3287 y=5.1956
radius=0.77 x=13.3560 y=22.5147
radius=1.01 x=2.9235 y=23.7643
radius=0.75 x=23.0417 y=8.1673
radius=0.06 x=22.4540 y=0.3492
radius=0.60 x=18.2183 y=13.3915
radius=1.13 x=3.2672 y=17.8493
radius=0.50 x=18.8326 y=5.4318
radius=0.31 x=4.8132 y=22.1126
radius=0.10 x=19.4849 y=15.8645
radius=0.22 x=4.0143 y=0.5622
radius=0.62 x=23.8637 y=10.0486
radius=0.79 x=21.7605 y=23.8552
radius=0.14 x=21.1401 y=5.0976
radius=0.15 x=12.2689 y=7.0232
radius=0.46 x=3.6407 y=1.8418
radius=0.04 x=8.7601 y=23.1683
radius=0.22 x=16.9315 y=0.5747
radius=0.07 x=5.6841 y=7.9835
radius=0.01 x=18.4765 y=18.1942
radius=1.42 x=16.9140 y=4.1369
radius=0.26 x=23.9718 y=16.1133
radius=0.39 x=19.5430 y=21.8986
radius=0.40 x=1.0458 y=14.8834
radius=0.26 x=19.5769 y=7.7218
radius=0.08 x=7.6848 y=8.9401
radius=0.46 x=6.7792 y=8.3108
radius=0.31 x=20.1549 y=11.2877
radius=0.63 x=6.7914 y=23.9955
radius=0.49 x=11.7822 y=0.6392
radius=0.96 x=10.2015 y=21.6510
radius=0.94 x=23.1424 y=13.2389
radius=0.74 x=1.6025 y=0.9244
radius=0.57 x=8.9130 y=24.2705
radius=0.32 x=0.3459 y=16.7588
radius=0.29 x=6.9053 y=19.2080
radius=0.01 x=22.8432 y=20.6635
radius=0.11 x=14.1071 y=8.7178
radius=0.15 x=15.7053 y=10.9487
radius=0.05 x=6.7252 y=3.4323
radius=0.99 x=11.7732 y=10.7242
radius=0.18 x=1.4241 y=14.4071
radius=0.12 x=0.2704 y=9.8840
radius=0.39 x=9.4317 y=16.6165
radius=0.25 x=24.3407 y=24.0346
radius=0.69 x=11.0384 y=12.8262
radius=0.73 x=6.8164 y=10.9481
radius=0.04 x=22.1432 y=22.3260
radius=0.31 x=20.1681 y=4.6866
radius=1.06 x=21.2755 y=3.6432
radius=0.86 x=19.1185 y=16.8847
radius=0.08 x=1.0154 y=10.7213
radius=0.54 x=7.4089 y=22.0571
radius=0.20 x=18.6345 y=15.6285
radius=0.93 x=20.6022 y=8.9638
