Step	PotentialEnergy	Width	Height	Area
0	-1261.061104	25.0000	25.0000	625.0000
1	-1261.563557	25.0000	25.0000	625.0000
2	-1266.466035	25.0000	25.0000	625.0000
3	-1278.749797	25.0000	25.0000	625.0000
4	-1290.167335	25.0000	25.0000	625.0000
5	-1292.931806	25.0000	25.0000	625.0000
6	-1308.900182	25.0000	25.0000	625.0000
7	-1308.226118	25.0000	25.0000	625.0000
8	-1321.849671	25.0000	25.0000	625.0000
9	-1329.762918	25.0000	25.0000	625.0000
10	-1338.517646	25.0000	25.0000	625.0000
11	-1351.221422	25.0000	25.0000	625.0000
12	-1369.165210	25.0000	25.0000	625.0000
13	-1391.632721	25.0000	25.0000	625.0000
14	-1410.810852	25.0000	25.0000	625.0000
15	-1426.799599	25.0000	25.0000	625.0000
16	-1449.979120	25.0000	25.0000	625.0000
17	-1468.001319	25.0000	25.0000	625.0000
18	-1485.927147	25.0000	25.0000	625.0000
19	-1510.739759	25.0000	25.0000	625.0000
20	-1548.581626	25.0000	25.0000	625.0000
21	-1577.626079	25.0000	25.0000	625.0000
22	-1611.364124	25.0000	25.0000	625.0000
23	-1644.513781	25.0000	25.0000	625.0000
24	-1680.450517	25.0000	25.0000	625.0000
25	-1733.556188	25.0000	25.0000	625.0000
26	-1776.147739	25.0000	25.0000	625.0000
27	-1823.999388	25.0000	25.0000	625.0000
28	-1854.022163	25.0000	25.0000	625.0000
29	-1910.908755	25.0000	25.0000	625.0000
30	-1978.530162	25.0000	25.0000	625.0000
31	-2041.562433	25.0000	25.0000	625.0000
32	-2092.573938	25.0000	25.0000	625.0000
33	-2151.842056	25.0000	25.0000	625.0000
34	-2217.125675	25.0000	25.0000	625.0000
35	-2303.759488	25.0000	25.0000	625.0000
36	-2383.507106	25.0000	25.0000	625.0000
37	-2427.075891	25.0000	25.0000	625.0000
38	-2507.717568	25.0000	25.0000	625.0000
39	-2632.958350	25.0000	25.0000	625.0000
40	-2670.319935	25.0000	25.0000	625.0000
41	-2833.249630	25.0000	25.0000	625.0000
42	-2944.699821	25.0000	25.0000	625.0000
43	-3132.040726	25.0000	25.0000	625.0000
44	-3306.740088	25.0000	25.0000	625.0000
45	-3477.986259	25.0000	25.0000	625.0000
46	-3655.611390	25.0000	25.0000	625.0000
47	-3850.232169	25.0000	25.0000	625.0000
48	-4090.938141	25.0000	25.0000	625.0000
49	-4193.096809	25.0000	25.0000	625.0000
50	-4358.680265	25.0000	25.0000	625.0000
51	-4838.025548	25.0000	25.0000	625.0000
52	-4752.910068	25.0000	25.0000	625.0000
53	-5073.514389	25.0000	25.0000	625.0000
54	-5331.201407	25.0000	25.0000	625.0000
55	-6107.008669	25.0000	25.0000	625.0000
56	-5942.073264	25.0000	25.0000	625.0000
57	-5895.574964	25.0000	25.0000	625.0000
58	-6047.534714	25.0000	25.0000	625.0000
59	-6574.511564	25.0000	25.0000	625.0000
60	-6235.700121	25.0000	25.0000	625.0000
61	-5766.861947	25.0000	25.0000	625.0000
62	-6064.171554	25.0000	25.0000	625.0000
63	-6397.398078	25.0000	25.0000	625.0000
64	-6313.977511	25.0000	25.0000	625.0000
65	-6707.356397	25.0000	25.0000	625.0000
66	-6571.921429	25.0000	25.0000	625.0000
67	-6854.558323	25.0000	25.0000	625.0000
68	-6462.780682	25.0000	25.0000	625.0000
69	-6375.434677	25.0000	25.0000	625.0000
70	-6378.370057	25.0000	25.0000	625.0000
71	-6418.810251	25.0000	25.0000	625.0000
72	-6142.793992	25.0000	25.0000	625.0000
73	-6439.475521	25.0000	25.0000	625.0000
74	-6569.755505	25.0000	25.0000	625.0000
75	-6419.270183	25.0000	25.0000	625.0000
76	-6847.437303	25.0000	25.0000	625.0000
77	-6309.987018	25.0000	25.0000	625.0000
78	-5926.579597	25.0000	25.0000	625.0000
79	-6575.143856	25.0000	25.0000	625.0000
80	-6046.786787	25.0000	25.0000	625.0000
81	-6364.959074	25.0000	25.0000	625.0000
82	-6904.969271	25.0000	25.0000	625.0000
83	-6250.627140	25.0000	25.0000	625.0000
84	-6254.994752	25.0000	25.0000	625.0000
85	-6411.712964	25.0000	25.0000	625.0000
86	-6705.963263	25.0000	25.0000	625.0000
87	-6890.946028	25.0000	25.0000	625.0000
88	-6262.028713	25.0000	25.0000	625.0000
89	-6165.611830	25.0000	25.0000	625.0000
90	-6607.327164	25.0000	25.0000	625.0000
91	-6512.390454	25.0000	25.0000	625.0000
92	-6222.376292	25.0000	25.0000	625.0000
93	-6053.242336	25.0000	25.0000	625.0000
94	-6249.890550	25.0000	25.0000	625.0000
95	-6104.551038	25.0000	25.0000	625.0000
96	-6189.539879	25.0000	25.0000	625.0000
97	-6185.151854	25.0000	25.0000	625.0000
98	-5899.746428	25.0000	25.0000	625.0000
99	-5828.843846	25.0000	25.0000	625.0000
100	-6031.355982	25.0000	25.0000	625.0000
101	-6292.933565	25.0000	25.0000	625.0000
102	-5944.679028	25.0000	25.0000	625.0000
103	-5463.925727	25.0000	25.0000	625.0000
104	-5149.894510	25.0000	25.0000	625.0000
105	-5140.335165	25.0000	25.0000	625.0000
106	-5556.236944	25.0000	25.0000	625.0000
107	-5405.537564	25.0000	25.0000	625.0000
108	-5165.882739	25.0000	25.0000	625.0000
109	-5189.658078	25.0000	25.0000	625.0000
110	-5174.656294	25.0000	25.0000	625.0000
111	-5530.005682	25.0000	25.0000	625.0000
112	-5836.069907	25.0000	25.0000	625.0000
113	-5796.270737	25.0000	25.0000	625.0000
114	-6032.546668	25.0000	25.0000	625.0000
115	-5871.039822	25.0000	25.0000	625.0000
116	-5691.424533	25.0000	25.0000	625.0000
117	-5753.744329	25.0000	25.0000	625.0000
118	-5796.796736	25.0000	25.0000	625.0000
119	-6085.771985	25.0000	25.0000	625.0000
120	-5797.746356	25.0000	25.0000	625.0000
121	-5344.638183	25.0000	25.0000	625.0000
122	-5462.284413	25.0000	25.0000	625.0000
123	-5797.159276	25.0000	25.0000	625.0000
124	-5635.940469	25.0000	25.0000	625.0000
125	-6049.540659	25.0000	25.0000	625.0000
126	-5989.134603	25.0000	25.0000	625.0000
127	-6206.403794	25.0000	25.0000	625.0000
128	-6034.089172	25.0000	25.0000	625.0000
129	-6050.569989	25.0000	25.0000	625.0000
130	-5947.210316	25.0000	25.0000	625.0000
131	-5503.873244	25.0000	25.0000	625.0000
132	-5363.973715	25.0000	25.0000	625.0000
133	-5127.424056	25.0000	25.0000	625.0000
134	-4944.017766	25.0000	25.0000	625.0000
135	-5302.951711	25.0000	25.0000	625.0000
136	-5558.381183	25.0000	25.0000	625.0000
137	-5104.601598	25.0000	25.0000	625.0000
138	-4842.472191	25.0000	25.0000	625.0000
139	-5087.761475	25.0000	25.0000	625.0000
140	-5325.186324	25.0000	25.0000	625.0000
141	-5631.975113	25.0000	25.0000	625.0000
142	-5259.522616	25.0000	25.0000	625.0000
143	-5379.955686	25.0000	25.0000	625.0000
144	-5615.436010	25.0000	25.0000	625.0000
145	-5583.141551	25.0000	25.0000	625.0000
146	-5240.327572	25.0000	25.0000	625.0000
147	-5367.492772	25.0000	25.0000	625.0000
148	-5382.379411	25.0000	25.0000	625.0000
149	-5188.045889	25.0000	25.0000	625.0000
150	-4943.988689	25.0000	25.0000	625.0000
151	-5349.061051	25.0000	25.0000	625.0000
152	-5200.816986	25.0000	25.0000	625.0000
153	-5835.095338	25.0000	25.0000	625.0000
154	-5512.495630	25.0000	25.0000	625.0000
